		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	LABELS	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ec_dfe	SR	ec_dfe_co	SR	ec_dfe_sc	SR	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb	D.ln_pdrb
																						
ln_ntl	ln_ntl	0.561***	0.560***	0.558***	0.317***	0.304***	0.199***	0.0649**	0.0649**	0.0649**	0.450***		0.201		0.673**		0.486***	0.195	-0.713	0.374	0.132	0.426
		(0.0119)	(0.0118)	(0.0119)	(0.0344)	(0.0318)	(0.0277)	(0.0250)	(0.0250)	(0.0250)	(0.109)		(0.180)		(0.335)		(0.155)	(0.334)	(1.098)	(0.379)	(0.282)	(1.113)
2013.year	year = 2013							0.0481***	0.0481***	0.0481***												
								(0.00517)	(0.00517)	(0.00517)												
2014.year	year = 2014							0.0964***	0.0964***	0.0964***												
								(0.00901)	(0.00901)	(0.00901)												
2015.year	year = 2015							0.141***	0.141***	0.141***												
								(0.0132)	(0.0132)	(0.0132)												
2016.year	year = 2016							0.201***	0.201***	0.201***												
								(0.0133)	(0.0133)	(0.0133)												
2017.year	year = 2017							0.248***	0.248***	0.248***												
								(0.0145)	(0.0145)	(0.0145)												
2018.year	year = 2018							0.296***	0.296***	0.296***												
								(0.0168)	(0.0168)	(0.0168)												
2019.year	year = 2019							0.335***	0.335***	0.335***												
								(0.0188)	(0.0188)	(0.0188)												
2020.year	year = 2020							0.332***	-0.0812***	-0.166***												
								(0.0180)	(0.00733)	(0.0170)												
2021.year	year = 2021							0.369***	-0.0442***	-0.129***												
								(0.0186)	(0.00328)	(0.0138)												
2022.year	year = 2022							0.413***		-0.0850***												
								(0.0206)		(0.0116)												
2023.year	year = 2023							0.449***	0.449***	-0.0493***												
								(0.0216)	(0.0216)	(0.0110)												
2024.year	year = 2024							0.498***	0.498***													
								(0.0265)	(0.0265)													
covid	covid		0.102**			0.121***			0.413***				-0.109					0.0311			-0.120	
			(0.0438)			(0.0121)			(0.0206)				(0.135)					(0.165)			(0.0847)	
scarring	scarring			0.0829**			0.198***			0.498***					-0.175				-0.0128			-0.0490
				(0.0383)			(0.0150)			(0.0265)					(0.249)				(0.121)			(0.0735)
2022o.year	year = 2022, omitted								-													
																						
2024o.year	year = 2024, omitted									-												
																						
ec_dfe												-0.0323***										
												(0.00852)										
LD.ln_pdrb	ln_pdrb = L,											-0.534***		-0.548***		-0.557***	-0.620***	-0.827***	-1.029***	-0.578***	-0.758***	-0.931***
												(0.0243)		(0.0253)		(0.0253)	(0.0349)	(0.0472)	(0.0623)	(0.0339)	(0.0415)	(0.0637)
L2D.ln_pdrb	ln_pdrb = L2,											-0.477***		-0.497***		-0.484***	-0.597***	-0.826***	-1.014***	-0.539***	-0.753***	-0.908***
												(0.0253)		(0.0258)		(0.0259)	(0.0332)	(0.0454)	(0.0633)	(0.0313)	(0.0402)	(0.0644)
L3D.ln_pdrb	ln_pdrb = L3,											-0.448***		-0.471***		-0.459***	-0.546***	-0.755***	-0.963***	-0.473***	-0.683***	-0.860***
												(0.0251)		(0.0255)		(0.0257)	(0.0400)	(0.0500)	(0.0669)	(0.0363)	(0.0469)	(0.0678)
L4D.ln_pdrb	ln_pdrb = L4,											0.337***		0.323***		0.362***	0.199***	0.0226	-0.103*	0.278***	0.0892**	-0.0135
												(0.0240)		(0.0241)		(0.0241)	(0.0306)	(0.0302)	(0.0527)	(0.0335)	(0.0346)	(0.0552)
D.ln_ntl	ln_ntl = D,											0.00920		0.00594		0.00272	-0.00254	0.0143	-0.00271	0.0229***	0.0131**	-0.00150
												(0.00569)		(0.00570)		(0.00514)	(0.00841)	(0.00882)	(0.00910)	(0.00659)	(0.00533)	(0.00414)
LD.ln_ntl	ln_ntl = L,											0.00780		0.00397		0.00235	-0.00978	0.00318	-0.00671	0.00867	0.00244	-0.00830
												(0.00558)		(0.00553)		(0.00504)	(0.00821)	(0.00781)	(0.0101)	(0.00590)	(0.00558)	(0.00569)
L2D.ln_ntl	ln_ntl = L2,											0.0144***		0.00706		0.00655	0.00532	0.00865	0.00270	0.0193***	0.00827*	0.00170
												(0.00525)		(0.00515)		(0.00475)	(0.00768)	(0.00690)	(0.00824)	(0.00614)	(0.00487)	(0.00551)
L3D.ln_ntl	ln_ntl = L3,											0.00288		-0.00588		-0.00339	-0.00235	-0.00572	-0.00299	0.00577	-0.00668	-0.00602
												(0.00437)		(0.00428)		(0.00396)	(0.00628)	(0.00677)	(0.00794)	(0.00524)	(0.00546)	(0.00648)
L4D.ln_ntl	ln_ntl = L4,											-0.00129		-0.00302		-0.00151	0.000898	-0.00106	-0.000289	0.00453	-0.00145	-0.00186
												(0.00331)		(0.00319)		(0.00299)	(0.00454)	(0.00445)	(0.00445)	(0.00427)	(0.00410)	(0.00363)
ec_dfe_co														-0.0243***								
														(0.00937)								
D.covid	covid = D,													-0.0334***				-0.0354***			-0.0335***	
														(0.00426)				(0.00259)			(0.00215)	
LD.covid	covid = L,													0.00747*				-0.00664*			-0.00248	
														(0.00432)				(0.00347)			(0.00385)	
L2D.covid	covid = L2,													-0.0346***				-0.0392***			-0.0368***	
														(0.00427)				(0.00384)			(0.00353)	
L3D.covid	covid = L3,													-0.0185***				-0.0312***			-0.0264***	
														(0.00437)				(0.00349)			(0.00338)	
L4D.covid	covid = L4,													0.0175***				0.00310			0.00696	
														(0.00434)				(0.00362)			(0.00460)	
ec_dfe_sc																-0.0152						
																(0.00951)						
D.scarring	scarring = D,															-0.0555***			-0.0560***			-0.0601***
																(0.00556)			(0.00491)			(0.00484)
LD.scarring	scarring = L,															0.00751			-0.0230***			-0.0187***
																(0.00571)			(0.00730)			(0.00560)
L2D.scarring	scarring = L2,															-0.0677***			-0.0748***			-0.0752***
																(0.00552)			(0.00642)			(0.00571)
L3D.scarring	scarring = L3,															-0.0314***			-0.0770***			-0.0720***
																(0.00580)			(0.00940)			(0.00799)
L4D.scarring	scarring = L4,															0.0468***			0.00610			0.0110*
																(0.00575)			(0.00607)			(0.00575)
L.ln_pdrb	ln_pdrb = L,																-0.0908***	-0.0457***	-0.0395**	-0.0418	-0.0441	-0.0457
																	(0.0154)	(0.0134)	(0.0179)	(0.399)	(0.254)	(0.719)
Constant	Constant	11.33***	11.31***	11.30***	10.98***	10.93***	10.73***	10.35***	10.35***	10.35***		0.383***		0.288***		0.202*						
		(0.0278)	(0.0297)	(0.0323)	(0.0499)	(0.0465)	(0.0409)	(0.0433)	(0.0433)	(0.0433)		(0.0961)		(0.105)		(0.104)						
																						
Observations		1,768	1,768	1,768	1,768	1,768	1,768	1,768	1,768	1,768	.	.	.	.	.	.	1,598	1,598	1,598	1,598	1,598	1,598
R-squared		0.545	0.546	0.546	0.392	0.471	0.621	0.837	0.837	0.837							0.198	0.144	0.112	0.209	0.153	0.124
OLS		plain	Covid	Scarring																		
Number of groups																	34	34	34	34	34	34
PMG																				Plain	Covid	Scarring
MG																	Plain	Covid	Scarring			
DFE											plain	plain	Covid	Covid	Scarring	Scarring						
